customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,predictions,ct_Last_training
8571-ZCMCX,Female,False,True,True,47,False,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,True,Credit card (automatic),68.03815259385048,2768.65,True,False,False
1169-WCVAK,Male,False,True,False,19,True,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,True,Credit card (automatic),100.69646583889872,1672.35,False,True,False
4548-SDBKE,Female,False,False,False,5,True,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,96.61417668326769,474.8,True,True,False
8066-POXGX,Female,False,False,False,13,False,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,39.80231926740253,446.1,True,True,False
7129-CAKJW,Female,False,False,False,17,True,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,False,Bank transfer (automatic),90.77423525229553,1345.65,False,True,False
8695-ARGXZ,Male,True,True,False,34,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,85.67137380775672,2425.4,False,True,False
3570-YUEKJ,Female,False,False,False,42,True,No,DSL,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,56.18817435042152,2077.95,False,True,False
4143-OOBWZ,Male,False,True,False,5,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,92.1916967646674,416.3,True,True,False
1555-HAPSU,Female,False,True,True,71,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),27.10186411655044,1663.5,True,False,False
1697-NVVGY,Male,True,True,False,19,True,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,False,Bank transfer (automatic),75.29555553719455,1286.05,False,False,False
7854-EKTJL,Female,False,False,True,2,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Electronic check,22.22579651399116,35.85,True,False,False
8464-EETCQ,Male,False,False,False,57,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),21.318621146073152,1094.35,True,False,False
2419-FSORS,Male,False,True,False,72,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Electronic check,122.92226235288987,7719.5,True,False,False
8132-YPVBX,Female,False,False,False,6,True,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,True,Mailed check,97.46465359069082,514.6,False,True,False
9102-IAYHT,Female,False,True,True,17,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,96.89766898574209,1451.6,True,True,False
6754-LZUKA,Male,False,True,False,61,True,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,False,Bank transfer (automatic),91.7381090807084,4932.5,True,False,False
8099-MZPUJ,Male,False,True,True,48,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),126.7777576665414,5443.65,True,False,False
0787-LHDYT,Male,False,False,False,16,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Credit card (automatic),23.359765723888668,330.25,False,False,False
2642-DTVCO,Male,True,False,False,9,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,96.44408130178306,746.5,True,True,False
0374-IOEGQ,Female,False,False,False,3,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,50.57502676142886,122.7,False,True,False
4361-JEIVL,Male,False,False,True,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,50.34823291944936,44.4,True,True,False
3197-NNYNB,Male,False,False,False,65,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,False,Credit card (automatic),119.18016396022809,6631.85,True,False,False
3396-DKDEL,Female,False,True,True,70,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),130.57655451969805,8250.0,True,False,False
1752-OZXFY,Male,False,True,False,60,True,No,DSL,Yes,No,No,No,Yes,No,One year,True,Mailed check,67.81135875187098,3561.15,True,False,False
9066-QRSDU,Female,False,True,False,69,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Electronic check,29.82339022030446,1763.55,True,False,False
9112-WSNPU,Female,True,False,False,35,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Electronic check,80.00152775826919,2419.0,False,True,False
9867-NNXLC,Female,False,False,False,22,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,22.73608265844504,470.2,False,False,False
5321-NTRKC,Male,False,True,True,66,True,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,False,Bank transfer (automatic),90.547441410316,5234.95,True,False,False
1363-TXLSL,Male,True,True,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,79.71803545579482,70.3,True,True,False
9507-EXLTT,Female,False,True,False,1,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),89.98045680536725,79.35,True,True,False
3161-GETRM,Male,False,True,True,34,True,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,True,Credit card (automatic),102.1139273512706,3097.0,False,True,False
0402-OAMEN,Female,False,True,True,72,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),27.72554718199407,1709.1,True,False,False
6933-VLYFX,Male,False,True,True,31,False,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,False,Electronic check,67.98145413335561,1848.8,True,False,False
6754-WKSHP,Male,False,False,True,30,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),28.74611947090183,723.3,True,False,False
9846-GKXAS,Female,False,False,False,9,True,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),102.96440425869372,809.75,True,True,False
6017-PPLPX,Male,False,True,True,20,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,79.88813083727945,1470.95,True,True,False
4976-LNFVV,Male,True,True,False,19,False,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,True,Credit card (automatic),38.89514389948452,577.15,False,True,False
